Student,LPIPS,SSIM
112590026.png,0.0,1.0
112590057.png,0.2195344716310501,0.6416880190128873
112590021.png,0.2350027859210968,0.5724221138258448
112590035.png,0.23875778913497925,0.5626510021214057
110590456.png,0.2719636857509613,0.5905146128093142
109810011.png,0.28710684180259705,0.5691989681710962
112590020.png,0.2935003638267517,0.5605215413249268
112590044.png,0.30633872747421265,0.5649733367406363
112590004.png,0.32639846205711365,0.619800493327009
112590022.png,0.329935759305954,0.6357951214743937
112590023.png,0.3307153582572937,0.6164995415392416
112590031.png,0.33365654945373535,0.42187641032324924
112590060.png,0.3500469923019409,0.5436758728196469
112590051.png,0.3516729772090912,0.442252239592586
112590017.png,0.35476112365722656,0.5585138357079558
111332012.png,0.35921165347099304,0.4963001478326013
112590041.png,0.36086806654930115,0.5341113987378776
112590007.png,0.3620995283126831,0.5363572703459869
112590038.png,0.3631708323955536,0.5902788082936847
112590036.png,0.36836835741996765,0.5594839964198186
112590009.png,0.37219950556755066,0.5215025823997552
112590014.png,0.3765180706977844,0.5914583295451367
111820017.jpg,0.38387972116470337,0.5071305247512624
112ab0053.png,0.3879178762435913,0.5871942565674292
112590052.png,0.4020349979400635,0.4264773020530998
113378043.png,0.40576237440109253,0.5082291302955426
110820009.png,0.4065265953540802,0.49864581769239386
112590005.png,0.4207777678966522,0.48450558759735546
112590029.png,0.4285745620727539,0.5923550305011474
112590013.png,0.43769294023513794,0.5936771048647742
112590024.png,0.4392957091331482,0.3695384118155061
112590033.png,0.4426206052303314,0.522666089792351
112590030.png,0.45015060901641846,0.5460695238385317
112590053.png,0.45353713631629944,0.410074725616111
110590041.png,0.4735439717769623,0.6254923618406888
112590012.png,0.49233564734458923,0.6028930580020443
112590018.png,0.4957112967967987,0.38369682697215196
